7an	tujuan
mo	mau
moge	motor gede
mokad	mati
mokat	mati
monggo	silakan
moots	teman
mootss	teman
morningg	pagi
morninggg	pagi
moso	masa
mosok	masa
motip	motif
mowning	pagi
mpe	sampai
mreka	mereka
msalah	masalah
msh	masih
msih	masih
msk	masuk
mskpn	meskipun
mslh	masalah
msng2	masing-masing
mt	makan teman
mu	kamu
muahal	mahal
mubes	musyawarah besar
mujamuja	memuja
muk	mau
muker	musyawarah kerja
mulu	melulu
muluu	melulu
mumet	pusing
mumpung	selagi
muna	munafik
munas	musyawarah nasional
munaslub	musyawarah nasional luar biasa
munculll	muncul
muntaber	muntah dan berak
muraah	murah
murce	murah
murmer	murah meriah
musda	musyawarah daerah
musti	mesti
mute	membisukan
muterin	memutar
mutual	teman
mutualan	berteman
mutualann	berteman
mutualannn	berteman
mutualsiapa	teman siapa
muup	maaf
muupz	maaf
muuv	maaf
mw	mau
mw	now watching
n	dan
nagih	ketagihan
naikin	menaikkan
naikkin	menaikkan
nak	mau
nakasmeja	nakas meja
nal	kenal
nambah	menambah
nambahin	menambahkan
nampakla	tampaklah
nanam	menanam
nangis	menangis
nangissssss	menangis
nanya	bertanya
nanyaa	bertanya
nanyain	menanyakan
nanyananya	bertanya-tanya
naon	apa
napa	kenapa
napa	kenapa
nape	kenapa
napi	narapidana
napol	narapidana politik
napza	narkotika, alkohol, psikotropika, dan zat adiktif 
naq	anak
narkoba	narkotika, psikotropika, dan obat terlarang
naro	menaruh
narsis	bangga pada diri sendiri
naruh	menaruh
nasgor	nasi goreng
nak	ingin
nautin	menautkan
nax	anak
nda	tidak
ndak	tidak
nder	teman
ndeeer	teman
nderr	teman
ndiri	sendiri
ndut	gendut
ne	ini
nebar	menyebar
neehhh	nih
nego	negosiasi
nekolim	neokolonialisme
nekolin	neokolonialisme
nelfon	menelepon
nembak	menyatakan cinta
nembus	menembus
nemenin	menemani
nempelin	menempelkan
nemu	ketemu
nemuin	menemukan
nemunya	ketemu
nerawang	menerawang
nerima	menerima
netes	menetas
newbi	anak baru
newbie	anak baru
ngabis2in	menghabiskan
ngabuburit	menunggu berbuka puasa
ngaco	mengada-ada
ngadain	mengadakan
ngadoin	memberi kado
ngafe	kumpul-kumpul
ngakak	tertawa
ngaku	mengaku
ngalamin	mengalami
ngalangin	menghalangi
ngambek	marah
ngambil	mengambil
ngampus	pergi ke kampus
ngandelin	mengandalkan
nganggur	tidak punya pekerjaan
ngantok	mengantuk
ngantor	bekerja
ngantri	mengantri
ngapa	kenapa
ngapah	kenapa
ngapain	melakukan apa
ngapainmakasi	kenapa terima kasih
ngapain makasi	kenapa terima kasih
ngape	kenapa
ngarang	mengarang
ngaret	terlambat
ngaruh	berpengaruh
ngasal	asal-asalan
ngasi	memberikan
ngasih	memberikan
ngasilin	menghasilkan
ngatasin	mengatasi
ngawur	berbicara sembarangan
ngebaca	membaca
ngebacotin	mengomeli
ngebajak	membajak
ngebalikin	membalikkan
ngebantu	membantu
ngebandel	berbuat bandel
ngebentuk	membentuk
ngeblock	memblokir
ngeblockin	memblokir
ngeblok	memblokir
ngeblokin	memblokir
ngeblokirin	memblokir
ngebul	mengepul
ngecek	memeriksa
ngeceng	kumpul bareng-bareng
ngedate	kencan
ngedit	mengedit
ngedrop	mengedrop
ngegosip	bergosip
ngeh	sadar
ngehubungin	menghubungi
ngehypeee	menyemangati
ngeklaim	mengklaim
ngeklik	memencet
ngekos	tinggal di kos
ngeksis	menjadi eksis
ngelamar	melamar
ngelanggar	melanggar
ngelanjutin	melanjutkan
ngelapak	berdagang
ngelempar	melempar
ngeles	berkilah
ngeliat	melihat
ngeliatin	melihat
ngeliatnya	melihatnya
ngelidur	mengigau
ngelike	menyukai
ngelirik	melirik
ngelive	melakukan siaran langsung
ngemeng	bicara terus-terusan
ngemute	membisukan
ngentot	berhubungan badan
ngepromosiinnya	mempromosikannya
ngeracun	merekomendasikan
ngeracunin	merekomendasikan
ngerampok	merampok
ngerasa	merasa
ngerasain	merasakan
ngerekomendasiin	merekomendasikan
ngeretweet	retweet
ngereview	mengulas
ngerti	paham
ngerusak	merusak
ngeselin	menyebalkan
ngeselinnnn	menyebalkan
ngeshare	membagikan
ngespam	spam
ngespill	mengungkapkan
ngestuck	terjebak
ngetweet	membuat tweet
ngga	tidak
nggak	tidak
nggapapa	tidak apa-apa
nggk	tidak
ngibul	berbohong
ngiklan	mengiklankan
ngikut	ikut
ngiler	mau
nginep	menginap
nginfoin	menginformasikan
ngiri	iri
ngirim	kirim
ngisi	mengisi
ngisiin	mengisikan
ngmg	bicara
ngmng	bicara
ngocol	lucu
ngomong	bicara
ngomongin	membicarakan
ngomongngomong	ngomong-ngomong
ngonten	membuat konten
ngopi	minum kopi
ngotak	memikirkan
ngubah	mengubah
ngubek2	mencari-cari
ngumpul	berkumpul
ngumpulin	mengumpulkan
nguntungin	menguntungkan
ngurangin	mengurangi
ngurus	mengurus
ngurusin	mengurus
ni	ini
nich	nih
nichh	nih
nichhh	nih
nie	ini
niech	nih
nih	ini
nihh	nih
nihhayo	nih ayo
nihhh	nih
niii	nih
niiii	nih
nimbrung	ikut serta
nindak	menindak
ningkatin	meningkatkan
nipu	menipu
nirfaedah	tidak berguna
nisekarang	nih sekarang
nitip	titip
niyh	nih
niyyy	nih
njir	anjing
njirrr	anjing
nkah	nikah
nmr	nomor
nmnya	namanya
nnt	nanti
nnti	nanti
nntk	nanti
nntn	nonton
nny	tanya
no	nomor
nobar	nonton bareng
nomer	nomor
nongki	kumpul-kumpul
nongkrong	kumpul-kumpul
notif	notifikasi
np	now playing
nrp	narapidana
ntar	nanti
ntar	sebentar
ntn	nonton
nuhun	terima kasih
nunggunya	menunggunya
nular	menular
nulis	menulis
numbuh	tumbuh
numpang	menumpang
numpuk	bertumpuk
nunggu	menunggu
nutupin	menutupi
nyambi	menyambi
nyambung	tersambung
nyambungin	menyambungkan
nyampah	membuat sampah
nyampe	sampai
nyadingin	menyandingi
nyangkut	tersangkut
nyantumin	mencantumkan
nyantuy	bersantai
nyatuyy	bersantai
nyari	mencari
nyariin	mencari
nyatet	mencatat
nyebar	menyebar
nyebelin	menyebalkan
nyebut	menyebut
nyekar	menyekar
nyelonong	menyelonong
nyepam	spam
nyeplak	timbul
nyerah	menyerah
nyerap	menyerap
nyesel	menyesal
nyesuaiin	menyesuaikan
nyetir	menyetir
nyewa	menyewa
nyiapin	mempersiapkan
nyicil	mencicil
nyiram	menyiram
nyisipin	menyisipkan
nyoba	coba
nyobain	mencoba
nyoblos	mencoblos
nyok	ayo
nyokap	ibu
nyolong	mencuri
nyolongin	mencuri
nyomot	mengambil
nyuri	mencuri
nyuruh	menyuruh
o/	oleh
ogah	tidak mau
ogos	agustus
ohiya	oh iya
ok	oke
okayyy	oke
okey	oke
okie	oke
okla	okelah
ol	online
olshop	online shop
olshopnyaa	online shopnya
omdo	omong doang
omo	astaga
omongin	membicarakan
ongkir	ongkos kirim
ongkirnya	ongkos kirimnya
onlen	online
oon	bodoh
oot	out of topic
ootd	outfit of the day
ootdstyle	outfit of the day style
oraaaang	orang
orangorang	orang-orang
org	orang
org2	orang-orang
orgnya	orangnya
ori	original
orkes	olahraga dan kesehatan
orng	orang
ortu	orang tua
ospek	orientasi studi dan pengenalan kampus
otda	otonomi daerah
otre	ok
otw	on the way, sedang di jalan
outerr	outer
outfit	pakaian
pa	apa
pabila	apabila
pacal	pacar
pacarny	pacarnya
pagiii	pagi
pagipagii	pagi-pagi
pagixx	pagi
pahe	paket hemat
pakcik	paman
pake	pakai
pakebalat	pakai alat
pakek	pakai
pakenya	pakainya
paksu	suami
pala	kepala
palagi	apalagi
panja	panitia kerja
panjangrok	panjang rok
pasanganny	pasangannya
pansus	panitia khusus
pantes	pantas
pantesan	pantas
pantura	pantai utara
pape	apa-apa
parpol	partai politik
pas2an	pas-pasan
pastiin	pastikan
pastu	setelah itu
pasutri	pasangan suami istri
patas	cepat dan terbatas
pb	powerbank
pd	pada
pda	pada
pdhal	padahal
pdhl	padahal
pede	percaya diri
pedes	pedas
pelatda	pemusatan latihan daerah
pelatnas	pemusatan latihan nasional
pelis	please
peliss	please
pemasukan	pendapatan
pembokat	pembantu
pemda	pemerintah daerah
pemilu	pemilihan umum
pemkot	pemerintah kota
pemprov	pemerintah provinsi
pemred	pemimpin redaksi
pencetin	memencet
pendaftaraan	pendaftaran
pendetector	pendeteksi
pending	tertunda
pengen	ingin
pengin	ingin
penjas	pendidikan jasmani
penjuall	penjual
penmas	pendidikan masyarakat
perabut	perabot
percoban	percobaan
perda	peraturan daerah
perati	perhatikan
perek	wanita tuna susila
perempuanlakilaki	perempuan laki-laki
perhatiin	perhatikan
pertamax	pertama
perushaan	perusahaan
pesanann	pesanan
pesen	pesan
pesenan	pesanan
pesenin	pesankan
pgang	pegang
pgi	pergi
pgn	ingin
pi	tapi
pict	picture
pijetin	pijitkan
pikiranye	pikirannya
pilkada	pemilihan kepala daerah
pilihcentangkan	pilih centangkan
pimpro	pemimpin proyek
pindahin	memindahkan
pinjem	pinjam
pinjol	pinjaman online
pisan	sangat
pisgor	pisang goreng
pk	penjahat kelamin
pke	pakai
plak	pula
pleasee	please
pleaseee	please
plg	paling
pling	paling
plis	please
pliss	please
plisss	please
plissss	please
pls	please
plss	please
plsss	please
plsplspls	please
plzzz	please
pm	private message
pmrnth	pemerintah
pngalamanya	pengalamannya
pnuh	penuh
pny	punya
pnya	punya
pokoknyaa	pokoknya
polantas	polisi lalu lintas
polll	pol
poloss	polos
polwan	polisi wanita
pon	pun
ponakkanamp	ponakan
ponpes	pondok pesantren
ponsel	telepon seluler
positip	positif
postkomen	post komentar
pp	promosi berbayar
ppa	apa
prg	pergi
priksa	periksa
printilan	barang-barang
printilannya	detailnya
prnah	pernah
prnh	pernah
pro	profesional
produkgt	produk gt
produkproduk	produk-produk
programpastiin	program pastikan
promoin	mempromosikan
promony	promonya
promooo	promo
promosiin	mempromosikan
promot	promosi
psen	pesan
psn	pesan
pst	pasti
psti	pasti
pswt	pesawat
puanas	panas
punten	permisi
punyaa	punya
puol	banget
pulak	pula
pw	posisi nyaman
qmo	kamu
qmu	kamu
qrt	quote reply
qrtnya	quote replynya
qt	kita
qtime	quality time
racunnn	racun
rakor	rapat koordinasi
ramairamai	ramai-ramai
rame	ramai
ramee	ramai
ranmor	kendaraan bermotor
raskin	rakyat miskin
ratingnya	peringkatnya
rban	ribuan
re	reply
realpict	gambar asli
rebuan	ribuan
red	redaksi
ref	referensi
reg	register
rehab	rehabilitasi
rejeki	rezeki
rek	rekening
rekeningshopeepay	rekening shopeepay
rekomedasiin	rekomendasikan
rekomen	rekomendasi
rekomend	rekomendasi
rekomendasiin	rekomendasikan
rekomendasiinnn	rekomendasikan
rekomendin	merekomendasikan
rekomin	rekomendasikan
rempong	sulit
renstra	rencana strategis
rep	balas
reply	balas
replyan	balasan
replydm	balas direct messege
repnya	balasannya
repp	balas
resahin	meresahkan
reskrim	reserse kriminal
restik	reserse narkotika
retweeet	retweet
reviewreview	review-review
revise	revisi
rhs	Rahasia
rhs	rahasia
ri	republik indonesia
ribet	tidak praktis
ribuannn	ribuan
ribuaannn	ribuan
ribuminggu	ribu minggu
ribuu	ribu
rmbt	rambut
rmh	rumah
rofl	rolling on the floor laughing
rokokvapeobatproduk	rokok vape obat produk
rs	rumah sakit
rt	retweet
rtcomment	rt comment
rtlike	rt like
rtlikee	rt like
rtrep	rt reply
ru	baru
rudal	peluru kendali
ruko	rumah toko
rulesnya	aturannya
ruparupanya	rupa-rupanya
rusun	rumah susun
rusunawa	rumah susun sewa
rutan	rumah tahanan
ruz	terus
s4	sempat
sabaarrrrr	sabar
sahaja	saja
saia	saya
saiank	sayang
saledapatkan	sale dapatkan
salinin	menyalin
salken	salam kenal
salmasalsabil	salma salsabil
salting	salah tingkah
saltum	salah kostum
salty	geram
samaaa	sama
samasama	sama-sama
sambel	sambal
sambungin	menyambungkan
sampahsampah	sampah-sampah
sampe	sampai
sampesampe	sampai
sampeyan	anda
samsek	sama sekali
saoing	saling
sapa	siapa
sape	siape
sapose	siapa
saranin	menyarankan
saranya	sarannya
satkorlak	satuan koordinator pelaksana
satpam	satuan pengamanan
satuuu	satu
say	sayang
sbb	sebab
sbenernya	sebenarnya
sbg	sebagai
sbh	sebuah
sblm	sebelum
sblmnya	sebelumnya
sbnrny	sebenarnya
sbnrnye	sebenarnya
scara	secara
scr	secara
scrolll	scroll
sdg	sedang
sdgkn	sedangkan
sdh	sudah
sdkt	sedikit
sdngkn	sedangkan
se7	setuju
seabrek	banyak
sebabb	sebab
sebabtu	sebab itu
sebagussss	sebagus
sebel	sebal
sebelas dua belas	mirip
sebelumsebelum	sebelum-sebelum
sebenernya	sebenarnya
secakep	sebagus
sedar	sadar
sedihdukakehilangan	sedih duka kehilangan
sediiih	sedih
sedikitsedikit	sedikit-sedikit
segede	sebesar
segemesh	sangat menggemaskan
segerr	segar
segiempat	segi empat
segini	sebanyak ini
seharihari	sehari-hari
seharihariku	sehari-hariku
seingetku	seingatku
sekedar	sekadar
sekjen	sekretaris jenderal
sekokah	sekolah
sekolahh	sekolah
sekolahkuliahkerja	sekolah kuliah kerja
seksa	siksa
selebgram	selebriti instagram
selebtiktok	selebriti tiktok
selebtwit	seleberiti twitter
selleraffiliate	seller affiliate
sellershopee	seller shopee
selo	santai
selucu	sangat lucu
semangatt	semangat
sembako	sembilan bahan pokok
sempak	celana dalam
sempet	sempat
sempet2nya	sempat-sempatnya
sempetsempetnya	sempat-sempatnya
semuaaaaaa	semua
semuaaaaaaa	semua
semuanyaaa	semuanya
sender	teman
sendiriin	memisahkan
sendratari	seni drama tari
senanggg	senang
seneng	senang
senengg	senang
sennggang	senggang
sensiviti	sensitivitas
seragman	seragaman
serame	seramai
serbaserbi	serba-serbi
serem	seram
sertain	menyertakan
sertijab	serah terima jabatan
seruu	seru
sesuain	sesuaikan
setsetelan	set setelan
sgt	sangat
sgtunya	segitunya
sharelink	share link
shg	sehingga
shoessneakers	shoes sneakers
shoopee	shopee
shopeeaffiliate	shopee affiliate
shopeelazadaonline	shopee lazada online
shopeemu	shopee kamu
shopeepayterima	shopeepay terima
shopeetiktok	shopee tiktok
shopeetiktoktokopedia	shopee tiktok tokopedia
shopeetiktoktokped	shopee tiktok tokopedia
shopeetokped	shopee tokopedia
shoper	shopee
shoppe	shopee
shopenya	shopeenya
shpee	shopee
siangje	siang saja
siapatau	siapa tahu
siape	siapa
siapin	siapkan
siapsiap	siap-siap
sidak	inspeksi mendadak
sidanggbentar	sidang bentar
sie	sih
siech	sih
sieee	sih
sieyh	sih
sihh	sih
sihhh	sih
sii	sih
siih	sih
siii	sih
sikecil	anak
sikit	sedikit
sikon	situasi dan kondisi
simpedes	simpanan pedesaan
simpen	simpan
sinetron	sinema elektronik
sip	ok
siramin	siramkan
sis	kakak perempuan
sj	saja
sjk	sejak
skali	sekali
skalian	sekalian
skena	sua cengkrama kelana
skirtrok	skirt rok
skl	sekali
sklh	sekolah
skrang	sekarang
skrg	sekarang
skrng	sekarang
sksd	sok kenal sok dekat
skt	sakit
skul	sekolah
slalu	selalu
slay	keren
slayy	keren
slesai	selesai
slh	salah
sll	selalu
slm	salam
slma	selama
slmt	selamat
slsai	selesai
slt	sulit
sm	sama
smangat	semangat
smga	semoga
smp	sampai
smpah	sampah
smpe	sampai
smpet	sempat
smpt	sempat
smua	semua
smw	semua
smwny	semuanya
sndiri	sendiri
sng	senang
snk	syarat dan ketentuan
soalnyamakasih	soalnya terima kasih
socmed	sosial media
sodara	saudara
sok	berlagak
soljum	sholat jumat
somse	sombong sekali
songong	sombong
sono	sana
sopi	shopee
sorang	sendiri
sorg	sendiri
sori	maaf
sorry	maaf
sory	maaf
sosbud	sosial-budaya
sosek	sosial-ekonomi
sosmed	sosial media
sosmednya	sosial medianya
sospol	sosial-politik
sotoy	sok tahu
sowry	maaf
spa	siapa
spd	sepeda
spg	sales promotion girl
sppa	siapa
sprti	seperti
spt	seperti
spupunya	sepupunya
spy	supaya
sribu	seribu
srtfkt	sertifikat
ss	screenshot
starshopee	star shopee
starup	startup
stelah	setelah
stiap	setiap
stiap	setiap
stlh	setelah
storenya	tokonya
stresstresnya	stres-stresnya
strika	setrika
subbag	subbagian
sudahbantal	sudah bantal
sue	sial
suer	benaran
suk	masuk
sumbangin	sumbangkan
sumpahh	sumpah
sumpek	sempit
sumpil	sumpah
sumpill	sumpah
sunggu	sungguh
supermarketstar	supermarket star
superr	super
surcin	surat cinta
survey	survei
surveynya	surveinya
sus	mencurigakan
suspnd	suspend
suujon	berburuk sangka
sy	saya
syg	sayang
syiopiii	shopee
syopi	shopee
syp	siapa
t4	tempat
tabanas	tabungan pembangunan nasional
taik	tai
tajir	kaya
tak	tidak
takdak	tidak ada
takde	tidak ada
takleh	tidak boleh
taknak	tidak mau
takpa	tidak apa
takpe	tidak apa
taktau	tidak tau
takyah	tidak payah
tambahin	tambahkan
tandain	menandai
tanyaaa	tanya
tanyain	tanyakan
tar	nanti
tau	tahu
taun	tahun
taunya	tahunya
tautin	menautkan
taw	tahu
tawarin	ditawarkan
tawh	tahu
taxnyaamp	pajaknya amp
tb	tinggi badan
tbtb	tiba-tiba
td	tadi
tdi	tadi
tdk	tidak
te2p	tetap
tebel	tebal
teguq	teguk
teh	kakak perempuan
tekor	rugi
tenkyuuult	terima kasih
telat	terlambat
tele	telegram
telkom	telekomunikasi
telmi	telat berpikir
telor	telur
telorr	telur
telp	telepon
temann	teman
temanteman	teman-teman
temen	teman
temenan	berteman
temenin	menemani
temenku	temanku
tementemen	teman-teman
temen2	teman-teman
temssss	teman-teman
tencuu	terima kasih
tengil	menyebalkan
tengkyu	terima kasih
tengkyuuu	terima kasih
tengok	melihat
tengoktengok	melihat-lihat
tengoklah	lihatlah
tepar	terkapar
tepek	tempel
terracyun	keracunan
terbitin	terbitkan
terimakasi	terima kasih
terimakasih	terima kasih
ternyt	ternyata
terparaah	terparah
terusss	terus
terworth	terlayak
testi	testimoni
teteh	kakak perempuan
tetep	tetap
tetiba	tiba-tiba
tggu	tunggu
tgk	lihat
tgl	tanggal
tgu	tunggu
thankiees	terima kasih
thankiuuu	terima kasih
thanks	terima kasih
thankssslt	terima kasih
thankyouu	terima kasih
thankz	terima kasih
thd	terhadap
thn	tahun
thx	terima kasih
tia	thanks in advace
tibatiba	tiba-tiba
tiketcoldplaygrab	tiket coldplay grab
tiktokshopee	tiktok shopee
tilang	bukti pelanggaran
tilkumsil	telkomsel
tinggalin	tinggalkan
tipi	TV
tipiwan	TvOne
titipnitip	penitipan
tk	tidak
tkg	tukang
tks	terima kasih
tktahu	tidak tahu
tkyah	tidak payah
tl	timeline
tll	terlalu
tlonk	tolong
tlp	telepon
tlpn	telepon
tls	tulis
tman	teman
tmbah	tambah
tmbh	tambah
tmen2	teman-teman
tmn	teman
tmn2	teman-teman
tmnin	menemani
tmnku	temanku
tmpah	tumpah
tmph	tumpah
tmpt	tempat
tnc	terms and conditions
tnda	tanda
tngu	tunggu
tnh	tanah
tnyta	ternyata
togel	toto gelap
tokai	tai
tokai	tai
tokped	tokopedia
tolongg	tolong
toserba	toko serba ada
tp	tapi
tpi	tapi
tq	terima kasih
trdhulu	terdahulu
trgntg	tergantung
trima	terima kasih
trims	terima kasih
trkait	terkait
trm	terima
trnyata	ternyata
trnyt	ternyata
trnyta	ternyata
trs	terus
trus	terus
trusted	tepercaya
trutama	terutama
trpngaruh	terpengaruh
trz	terus
ts	penulis
tsb	tersebut
tst	tahu sama tahu
tt	tiktok
ttd	tertanda
ttg	tentang
ttp	tetap
tu	itu
tubir	ribut
tuch	tuh
tuh	itu
tuir	tua
tuker	tukar
tutor	tutorial
tuwh	tuh
tw	tahu
tweets	tweet
twit	tweet
twitan	tweet
twiter	twitter
twitnya	tweetnya
twitt	tweet
twt	twitter
tyap	tiap
typingnya	ketikannya
tysm	thank you so much
tysmm	thank you so much
u	kamu
u/	untuk
ubat	obat
ubatsupplement	obat suplemen
ucul	lucu
ud	sudah
uda	sudah
udah	sudah
udh	sudah
ujan	hujan
ujg	ujung
ujung2nya	ujung-ujungnya
ul	ulangan
ultah	ulang tahun
ultahannivpernikahan	ulang tahun anniversary pernikahan
umumin	diumumkan
untk	untuk
unyu	lucu
unyu	menggemaskan
uplot	unggah
uppu	apa
urang	saya
urg	saya
urusin	urus
usah	perlu
utang	hutang
utk	untuk
utul	ujian tertulis
valas	valuta asing
validtidak	valid tidak
vc	voucher
verif	verifikasi
verifin	verifikasi
vidio	video
vidionya	videonya
viewers	penonton
viewersnya	penontonnya
voc	voucher
vol	volume
w/	dengan
wa	whatsapp
wad	buat
wadir	wakil direktur
wagub	wakil gubernur
walapon	walaupun
walopun	walaupun
wamil	wajib militer
wanginyaa	wanginya
wanitaa	wanita
waria	wanita pria
warkop	warung kopi
warnet	warung internet
warteg	warung tegal
wartel	warung telekomunikasi
wat	buat
wedgess	wedges
wes	sudah
wib	waktu indonesia barat
wita	waktu indonesia tengah
wisudaaa	wisuda
wk	tertawa
wkt	waktu
wktu	waktu
wkwk	tertawa
wkwkwk	tertawa
wkwkwkw	tertawa
wkwkwkwkwk	tertawa
wkwkkwkwkwkwk	tertawa
wlwpun	walaupun
worthit	worth it
wta	want to ask
wtb	want to buy
wtf	what the fuck
wth	what the hell
wts	want to sell
wtt	want to trade
xblh	tidak boleh
xde	tidak ada
xpernah	tidak pernah
xixixi	tertawa
xtau	tidak tahu
y	kenapa
ya	iya
yaa	iya
yaaa	iya
yaaah	iya
yaaaww	iya
yaahh	iya
yaak	iya
yaalink	ya link
yaang	yang
yaaw	iya
yaampunnn	ya ampun
yaampuun	ya ampun
yaarame	ya ramai
yach	iya
yad	yang akan datang
yahh	iya
yak	iya
yakk	iya
yakali	tidak mungkin
yakkkkk	iya
yap	iya
yapp	iya
yaps	iya
yapz	iya
yauda	ya sudah
yaudah	ya sudah
yaudahlah	ya sudahlah
yauwda	ya sudah
yaw	iya
yawdah	ya sudah
yaww	iya
yawwww	iya
yayy	yes
ybs	yang bersangkutan
ye	iya
yey	yes
yg	yang
ygy	ya guys ya
yh	iya
yhh	iya
yi	yaitu
yl	yang lain
yng	yang
yo	iya
yoha	iya
yok	ayo
yookkk	ayo
youuuu	you
yowes	ya sudah
yt	youtube
yuk	ayo
yukk	ayo
yukkk	ayo
yukkkk	ayo
yuks	ayo
yukss	ayo
yup	iya
yupp	iya
yuu	ayo
yuuk	ayo
yuukk	ayo
yuukkk	ayo
yuuu	ayo
yuuuk	ayo
yuuukk	ayo
yuuuu	ayo
ywdh	ya sudah
zuzur	jujur
